// Relations between columns in the KB
// Format: table id,column1,column2,relation name
1,0,1,hasProperty
23,0,1,typeOf
23,0,2,requires
23,0,1,provides
23,4,0,requires
23,4,1,requires
76,0,1,provides
76,0,1,typeOf
76,0,2,requires
77,0,1,requires
43,0,1,typeOf
43,0,2,requires
44,0,1,requires
21,0,1,sameAs
20,0,2,cause
6,1,2,fromTo
6,3,0,cause
6,3,1,changeFrom
6,0,1,changeFrom
15,1,2,typeOf
10,1,2,helpsWith
10,1,3,purpose
10,1,0,partOf
10,0,1,performs
42,0,1,helpsWith
42,0,2,purpose
11,1,0,partOf
11,1,2,purpose
//zmonarch_table8.csv,1,0,partOf
//zmonarch_table8.csv,1,2,purpose
13,0,1,measures
13,1,2,propertyOf
13,0,3,measures
13,3,2,propertyOf
13,3,1,unitOf
17,0,1,purpose
17,1,2,object
17,2,3,propertyOf
53,0,1,performs
//20.csv,0,1,performs
//20.csv,5,1,typeOf
7,0,1,changeFrom
7,1,2,fromTo
